date,close,volume,open,high,low,stock_name
2015-11-13,717.0,2075500.0,729.17,731.15,716.73,Google
2015-11-16,728.96,1905800.0,715.6,729.49,711.33,Google
2015-11-17,725.3,1510900.0,729.29,731.84,723.03,Google
2015-11-18,740.0,1684200.0,727.58,741.41,727.0,Google
2015-11-19,738.41,1327800.0,738.74,742.0,737.43,Google
2015-11-20,756.6,2213200.0,746.53,757.92,743.0,Google
2015-11-23,755.98,1415300.0,757.45,762.71,751.82,Google
2015-11-24,748.28,2334100.0,752.0,755.28,737.63,Google
2015-11-25,748.15,1122200.0,748.14,752.0,746.06,Google
2015-11-27,750.26,838500.0,748.46,753.41,747.49,Google
2015-11-30,742.6,2097600.0,748.81,754.93,741.27,Google
2015-12-01,767.04,2134621.0,747.11,768.95,746.7,Google
2015-12-02,762.38,2230200.0,768.9,775.96,758.96,Google
2015-12-03,752.54,2590601.0,766.01,768.99,745.63,Google
2015-12-04,766.81,2757200.0,753.1,768.49,750.0,Google
2015-12-07,763.25,1812300.0,767.77,768.73,755.09,Google
2015-12-08,762.37,1829475.0,757.89,764.8,754.2,Google
2015-12-09,751.61,2699900.0,759.17,764.23,737.0,Google
2015-12-10,749.46,1988300.0,752.85,755.85,743.83,Google
2015-12-11,738.87,2224400.0,741.16,745.71,736.75,Google
2015-12-14,747.77,2418912.0,741.79,748.73,724.17,Google
2015-12-15,743.4,2666200.0,753.0,758.08,743.01,Google
2015-12-16,758.09,1993200.0,750.0,760.59,739.43,Google
2015-12-17,749.43,1553400.0,762.42,762.68,749.0,Google
2015-12-18,739.31,3148700.0,746.51,754.13,738.15,Google
2015-12-21,747.77,1525700.0,746.13,750.0,740.0,Google
2015-12-22,750.0,1365420.0,751.65,754.85,745.53,Google
2015-12-23,750.31,1566700.0,753.47,754.21,744.0,Google
2015-12-24,748.4,527223.0,749.55,751.35,746.62,Google
2015-12-28,762.51,1515716.0,752.92,762.99,749.52,Google
2015-12-29,776.6,1765012.0,766.69,779.98,766.43,Google
2015-12-30,771.0,868174.0,776.6,777.6,766.9,Google
2015-12-31,758.88,1070048.0,769.5,769.5,758.34,Google
2016-01-04,741.84,2258966.0,743.0,744.06,731.258,Google
2016-01-05,742.58,1359685.0,746.45,752.0,738.64,Google
2016-01-06,743.62,1775394.0,730.0,747.18,728.92,Google
2016-01-07,726.39,2509556.0,730.31,738.5,719.06,Google
2016-01-08,714.47,2338972.0,731.45,733.23,713.0,Google
2016-01-11,716.03,2090621.0,716.61,718.855,703.54,Google
2016-01-12,726.07,1781584.0,721.68,728.75,717.317,Google
2016-01-13,700.56,1713897.0,730.85,734.74,698.61,Google
2016-01-14,714.72,1923982.0,705.38,721.925,689.1,Google
2016-01-15,694.45,2645079.0,692.29,706.74,685.37,Google
2016-01-19,701.79,2268000.0,703.3,709.98,693.41,Google
2016-01-20,698.45,3192247.0,688.61,706.85,673.26,Google
2016-01-21,706.59,2308528.0,702.18,719.19,694.46,Google
2016-01-22,725.25,1841101.0,723.6,728.13,720.121,Google
2016-01-25,711.67,1588956.0,723.58,729.68,710.01,Google
2016-01-26,713.04,1251534.0,713.85,718.28,706.48,Google
2016-01-27,699.99,1181790.0,713.67,718.235,694.39,Google
2016-01-28,730.96,2370760.0,722.22,733.69,712.35,Google
2016-01-29,742.95,2490656.0,731.53,744.99,726.8,Google
2016-02-01,752.0,3015303.0,750.46,757.86,743.27,Google
2016-02-02,764.65,5009772.0,784.5,789.87,764.65,Google
2016-02-03,726.95,5753416.0,770.22,774.5,720.5,Google
2016-02-04,708.01,4812793.0,722.81,727.0,701.86,Google
2016-02-05,683.57,3863948.0,703.87,703.99,680.15,Google
2016-02-08,682.74,3117992.0,667.85,684.03,663.06,Google
2016-02-09,678.11,2663219.0,672.32,699.9,668.77,Google
2016-02-10,684.12,2030829.0,686.86,701.31,682.13,Google
2016-02-11,683.11,2154962.0,675.0,689.35,668.868,Google
2016-02-12,682.4,1983019.0,690.26,693.75,678.6,Google
